,Hydriastele microspadix,Arctocarpus camansi,Ficus botryocarpa,Breynia cernua,Casearia erythrocarpa,Ficus conocephalifolia,Ficus copiosa,Ficus dammaropsis,Dracaena angustifolia,Endospermum labios,Eupomatia laurina,Gardenia hansemannii,Homalanthus novoguineensis,Macaranga densiflora,Macaranga brachytricha,Mallotus mollissimus,Macaranga ducis,Macaranga quadriglandulosa,Melanolepis multiglandulosa,Ficus nodosa,Osmoxylon sessiliflorum,Pavetta platyclada,Ficus phaeosyce,Pimelodendron amboinicum,Premna obtusifolia,Psychotria leptothyrsa,Psychotria micralabastra,Psychotria micrococca,Pterocarpus indicus,Ficus pungens,Ficus septica,Kibara coriacea,Sterculia schumanniana,Tabernaemontana aurantiaca,Timonius timon,Ficus trachypison,Ficus variegata,Ficus wassa
PHAS027,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PYRA010,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TETT022,0,2,0,9,0,0,2,4,0,13,2,2,92,7,8,12,10,9,24,2,0,9,0,6,4,0,8,0,3,0,3,0,17,0,10,0,0,0
TETT023,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4
CHOR001,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CHOR002A,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
CHRY002,0,4,121,0,0,342,162,227,0,0,0,0,6,3,0,0,0,2,2,153,0,0,27,0,3,0,2,0,12,108,20,2,28,0,0,225,199,90
CHRY009,0,0,0,0,0,57,3,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,28,0,0,0,0,0,0,4,11,0,0,0,0,12,0,22
CHRY016,0,0,5,0,0,22,14,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,42,0
CHRY037,0,0,0,0,0,15,54,22,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,2
CHRY068,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,23
CRAM002,0,0,3,0,0,13,239,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,4,8,0,0,0,0,121,4,56
CRAM003,0,0,29,0,0,44,12,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,20,0,0,0,0,0,0,3,54,0,0,0,0,8,90,13
CRAM005,0,0,0,0,0,26,7,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,72,0,0,0,0,0,0,17,5,0,0,0,0,53,16,2
CRAM009,0,0,0,0,0,14,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
CRAM012,0,0,17,0,0,39,3,13,0,0,0,0,0,0,0,0,0,0,0,47,0,0,14,0,0,0,0,0,0,5,14,0,7,0,0,21,32,28
DREP008,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOCT002,0,0,30,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,68,0,0,0,0,0,12,2
TORT005,0,0,114,0,0,586,78,87,0,0,0,0,0,0,0,0,0,0,0,46,0,0,342,0,0,0,0,0,0,82,47,0,0,0,0,104,102,28
TORT009,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
TORT012,0,0,15,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
TORT022,0,0,17,8,0,7,7,7,0,0,0,0,9,0,0,0,0,0,0,8,0,0,5,3,0,0,0,0,17,0,2,0,2,0,0,0,11,5
TORT039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
TORT067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
TORT086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
TORT117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
TORT132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
TORT141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
CHRY133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRI004,4,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,2,5,5,2,0,0,0,9,0,7,3,0,2,0,4,2,2,4,0
ACRI009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ACRI017,8,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,3,2,0,4,0,0,0,0,0,0,0,3
ACRI026,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,5,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ACRI027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ACRI032,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,2,0,0,0,0,0,4,8,0,0,0
ACRI033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRI042,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRI043,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
ACRI044,0,0,0,0,0,0,0,0,0,0,0,0,2,9,12,3,10,19,0,0,0,2,0,0,0,0,12,8,2,0,0,0,0,0,8,0,0,0
BREN002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUPR002,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
