"Estimate"	"Std. Error"	"z value"	"Pr(>|z|)"
"(Intercept)"	-1.58352021239467	0.0981208205389546	-16.138472993772	1.36886150800169e-58
"scale(distance)"	-0.44758305613957	0.0880925488078815	-5.08082763180903	3.75793991497543e-07
