"Estimate"	"Std. Error"	"z value"	"Pr(>|z|)"
"(Intercept)"	-3.59603688321025	0.650962394952346	-5.52418528488655	3.31017997834848e-08
"scale(distance)"	-0.734639912841729	0.32055702204363	-2.29176047418403	0.0219194686453271
