"Estimate"	"Std. Error"	"z value"	"Pr(>|z|)"
"(Intercept)"	-2.7765414756215	0.957147949145967	-2.90084879573625	0.00372153406023379
"scale(distance)"	-0.746524002939369	0.335260212192758	-2.22670026382419	0.0259673127950085
