"Estimate"	"Std. Error"	"z value"	"Pr(>|z|)"
"(Intercept)"	-2.63120421435759	0.0851284632840279	-30.9086304727325	9.1456637427914e-210
"scale(distance)"	0.00212841886484897	0.0932905538638848	0.0228149451010273	0.981797886661246
