"Estimate"	"Std. Error"	"z value"	"Pr(>|z|)"
"(Intercept)"	-0.230871696822733	0.194578108715212	-1.18652451885346	0.235415224543802
"scale(distance)"	-0.113265937207945	0.231210157254884	-0.489883050782591	0.624216657365492
