"Estimate"	"Std. Error"	"z value"	"Pr(>|z|)"
"(Intercept)"	-1.76046343848892	0.0744518305652322	-23.6456702961313	1.30780816609023e-123
"scale(distance)"	0.150340037936118	0.0833609382825312	1.80348303454284	0.0713123874934749
