,Antennaria alpina,Arabis alpina,Astragalus alpinus,Bartsia alpina,Cassiope hypnoides,Cassiope tetragona,Cerastium alpinum,Diapensia lapponica,Dryas octopetala,Parnassia palustris,Pinguicula alpina,Polygonum viviparum,Potentilla crantzii,Rhodiola rosea,Rhododendron lapponicum,Salix lanata,Salix polaris,Salix reticulata,Saxifraga aizoides,Saxifraga oppositifolia,Silene acaulis,Taraxacum officinale,Trollius europaeus,Viola biflora
Spilogona triangulifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Stenomacrus sp1 M_PL_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Tetrastichinae sp1 M_PL_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Thricops cunctans,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thricops hirtulus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thricops nigritellus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thricops rostratus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trichosia truncata ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Zaphne barbiventris,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zaphne frontata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Zaphne sp1 M_PL_009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Zaphne sp2 M_PL_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
