,Aciphylla scott-thompsoni,Anisotome aromatica,Anisotome flexuosa,Brachyscome sinclairii,Cassinia vauvilliersii,Celmisia discolor,Celmisia gracilenta,Celmisia laricifolia,Celmisia lyalii,Celmisia petiolata,Celmisia sessiliflora,Celmisia spectabilis,Chrysanthemum leucanthemum,Cotula pyrethrifolia,Craspedia uniflora,Donatia novae-zelandiae,Dracophyllum pronum,Epilobium sp1 M_PL_029,Euphrasia revoluta,Euphrasia zelandica,Galium perpusillum,Galium propinquum,Gentiana montana,Geum uniflorum,Hebe epacridea,Hebe odora,Hebe pinguifolia,Hebe subalpina,Helichrysum bellidioides,Helichrysum selago,Hieracium pilosella,Hieracium praealtum,Hypochaeris radicata,Kelleria dieffenbachii,Leptospermum scoparium,Leucogenes grandiceps,Muehlenbeckia axillaris,Ourisia caespitosa,Parahebe decora,Phyllachne colensoi,Pimelea traversii,Pratia angulata,Pratia macrodon,Ranunculus enysii,Raoulia grandiflora,Raoulia subsericea,Senecio scorzoneroides,Viola cunninghamii,Wahlenbergia albomarginata
Calliphora quadrimaculata_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheilosia captalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheilosia fulvipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chelaner antarcticus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cyphon sp2 M_PL_029,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dasytes subcyaneus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Declana junctilinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gelechia lithodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gelophaula aenea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gracilicera setosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
