,Achillea millefolium,Aegopodium podagraria,Allium scorodoprasum,Angelica sylvestris,Calystegia sepium,Cerastium glomeratum,Chaerophyllum temulentum,Chrysanthemum maximum,Cirsium arvense,Cirsium vulgare,Daucus carota,Echium vulgare,Epilobium montanum,Eupatorium cannabinum,Geranium robertianum,Hypericum perforatum,Juncus effusus,Lapsana communis,Lychnis flos-cuculi,Malva sylvestris,Matricaria chamomilla,Melilotus albus,Myosotis palustris,Prunella vulgaris,Ranunculus repens,Senecio jacobaea,Silene dioica,Sonchus arvensis,Sonchus palustris,Stachys palustris,Stachys sylvatica,Tanacetum vulgare,Trifolium dubium,Trifolium repens,Tripleurospermum inodorum,Verbascum thapsus,Veronica agrestis,Vicia hirsuta,Vicia sepium
Strophosomus capitatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Undefined sp28 M_PL_018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Undefined sp3 M_PL_018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Undefined sp30 M_PL_018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Undefined sp5 M_PL_018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Zygaena filipendulae ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anaspis frontalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Aphantopus hyperantus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Apion aeneum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Apion flavipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Apion meliloti ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bombus ruderatus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ceuthorrhynchus pollinarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ceutorrhynchus rugulosus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
