,aralia_nudicaulis,chimaphila_umbellata,clintonia_borealis,cornus_canadensis,cypripedium_acaule,linnaea_borealis,maianthemum_canadense,medeola_virginiana,oxalis_montana,orthilia_secunda,trientalis_borealis,trillium_undulatum,
Passaloecus sp1 M_PL_004,0,0,0,0,0,1,0,0,0,0,0,0,
Pegohylemyia fugax,0,0,0,0,0,0,1,0,0,0,0,0,
Phalaenophana pyramusalis,0,0,0,0,0,0,1,0,0,0,0,0,
Pieris napi,0,0,0,1,0,0,0,0,0,0,0,0,
Poanes hobomok,0,0,1,0,0,0,0,0,0,0,0,0,
Psithyrus sp1 M_PL_004,0,0,0,1,0,0,0,0,0,0,0,0,
Pyrophaena rosarum,0,0,0,0,0,1,0,0,0,0,0,0,
Rhopalum sp1 M_PL_004,0,0,1,0,0,0,0,0,0,0,0,0,
Sphaerophoria longipilosa,0,0,0,1,0,0,0,0,0,0,0,0,
Syritta pipiens,0,0,0,1,0,0,0,0,0,0,0,0,
Syritta rectus,0,0,0,1,0,0,0,0,0,0,0,0,
Temnostoma alternans,0,0,0,1,0,0,0,0,0,0,0,0,
Thamnotettix confinis,0,0,0,0,0,0,1,0,0,0,0,0,
Trachysida aspera,1,0,0,0,0,0,0,0,0,0,0,0,
Vespula arenaria,0,0,0,0,0,0,0,0,0,1,0,0,
Xylota sp1 M_PL_004,0,0,0,1,0,0,0,0,0,0,0,0,
