,byrsonima_spicata,calliandra_tergemina,centrosema_virginianum,chamaecrista_glandulosa,coccoloba_sp19,cordia_martinicensis,cordia_sp211,cornutia_pyramidata,croton_flavens,daphnopsis_americana,desmodium_adscendens,gonzalagunia_hirsuta,guettarda_scabra,ipomoea_batatas,lantana_camara,lantana_involucrata,ludwigia_octovalvis,miconia_striata,mimosa_casta,odontonema_nitidum,oxalis_barrelieri,oxalis_frutescens,palicourea_crocea,sida_rhombifolia,spermacoce_remota,stigmaphyllon_diversifolium,tetrazygia_angustifolia,genus1_sp149,vernonia_sp184,wedelia_calycina,sphagneticola_trilobata,
Dryas iulia,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Agraulis vanillae,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allosmaitia piplea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Urbanus sp1 M_PL_041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
Phoebis sp1 M_PL_041,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp10 M_PL_041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
Eulampis holosericeus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eulampis jugularis,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marpesia petreus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp18 M_PL_041,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp13 M_PL_041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp16 M_PL_041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp20 M_PL_041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
